0 M,,1 M,,2 M,,3 M,,1,5 M,,1,25 M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
348,509.5745239,348,586.7614746,348,663.8240356,348,696.6705933,348,620.3807983,348,605.5183105,
349.0700073,492.0661621,349.0700073,584.7578735,349.0700073,666.9093018,349.0700073,714.2772827,349.0700073,623.7122192,349.0700073,612.1732788,
350,490.0292969,350,571.380249,350,674.7800293,350,725.5993042,350,625.0223999,350,594.3770142,
351.0700073,484.9087219,351.0700073,560.7396851,351.0700073,667.9047852,351.0700073,717.7470093,351.0700073,625.1012573,351.0700073,584.9868774,
352,464.9132385,352,554.239502,352,672.9118652,352,723.46875,352,626.7990723,352,574.7246094,
353.0700073,458.1717834,353.0700073,541.7904663,353.0700073,687.0493164,353.0700073,735.7509766,353.0700073,625.1367798,353.0700073,571.2619019,
354,444.8055725,354,538.0860596,354,680.9335938,354,737.2950439,354,628.854126,354,560.5869141,
355.0700073,433.2420654,355.0700073,527.0935669,355.0700073,686.7681274,355.0700073,742.9375,355.0700073,611.2871094,355.0700073,555.795166,
356,433.3297729,356,510.3158875,356,682.1920776,356,734.4416504,356,609.0914307,356,537.9679565,
357.0700073,419.3108215,357.0700073,499.7819214,357.0700073,677.9013062,357.0700073,739.522644,357.0700073,604.5187378,357.0700073,539.9320679,
358,403.6327515,358,488.9701538,358,671.6444702,358,727.7362671,358,593.0491943,358,527.1762695,
359.0700073,399.7098999,359.0700073,477.5391846,359.0700073,672.9177246,359.0700073,732.6744995,359.0700073,594.2435303,359.0700073,512.4584351,
360,383.0032349,360,468.9415894,360,671.9629517,360,730.2480469,360,594.5509644,360,513.4990845,
361.0700073,370.6607666,361.0700073,457.7137146,361.0700073,668.2590942,361.0700073,723.1262207,361.0700073,578.6259766,361.0700073,490.7746582,
362,365.3876038,362,452.8096008,362,655.4973145,362,716.5286865,362,559.8550415,362,487.8759766,
363.0700073,349.5682373,363.0700073,432.1576843,363.0700073,642.9213867,363.0700073,719.2288818,363.0700073,565.9556274,363.0700073,469.4916382,
364,334.5214844,364,424.3383179,364,642.5231323,364,699.2832031,364,550.4767456,364,467.1968079,
365.0700073,328.269043,365.0700073,406.7467041,365.0700073,637.2370605,365.0700073,696.1176758,365.0700073,545.8735352,365.0700073,457.6443481,
366,314.9247131,366,398.2488098,366,630.46875,366,682.2928467,366,533.4158936,366,445.2203979,
367.0700073,308.7514648,367.0700073,380.5917969,367.0700073,622.0510254,367.0700073,673.6513672,367.0700073,517.0509644,367.0700073,430.5177002,
368,300.9459229,368,373.1577148,368,599.6587524,368,671.1980591,368,512.5030518,368,423.5865173,
